4268312	56	mov	6	
4268317	56	rep movs	7	
4268319	56	mov	8	
4268321	57	mov	0	
4268323	57	add	1	
4268326	57	test	2	
4268328	57	jnz	3	
4268330	58	lea	0	
4268336	58	sub	1	
4268338	58	mov	2	
4268340	58	add	3	
4268343	59	mov	0	
4268346	59	add	1	
4268349	59	test	2	
4268351	59	jnz	3	
4268353	60	mov	0	
4268355	60	shr	1	
4268358	60	rep movs	2	
4268360	60	mov	3	
4268362	60	and	4	
4268365	60	rep movs	5	
4268367	60	pop	6	
4268368	60	jmp	7	
4268370	61	mov	0	
4268375	62	mov	0	
4268380	62	mov	1	
4268386	62	push	2	
4268387	62	push	3	
4268389	62	push	4	
4268390	62	push	5	
4268391	62	call	6	
4268396	62	add	7	
4268399	62	pop	8	
4268400	62	pop	9	
4268401	63	mov	0	
4268404	63	xor	1	
4268406	63	call	2	
4268411	63	mov	3	
4268413	63	pop	4	
4268414	63	retn	5	
4265488	64	cmp	0	
4265495	64	jnz	1	
4265497	65	push	0	
4265499	65	push	1	
4265501	65	push	2	
4265503	65	push	3	
4265505	65	push	4	
4265507	65	mov	5	
4265514	65	call	6	
4265519	65	push	7	
4265520	65	call	8	
4265525	65	add	9	
4265528	66	retn	0	
4264041	67	jmp	0	
4270368	68	push	0	
4270369	68	mov	1	
4270371	68	mov	2	
4270374	68	push	3	
4270375	68	call	4	
4270380	68	add	5	
4270383	68	neg	6	
4270385	68	sbb	7	
4270387	68	neg	8	
4270389	68	sub	9	
4270392	68	pop	10	
4270393	68	retn	11	
4265584	69	push	0	
4265585	69	mov	1	
4265587	69	call	2	
4265592	69	mov	3	
4265597	69	push	4	
4265599	69	call	5	
4265605	69	add	6	
4265608	69	push	7	
4265610	69	call	8	
4265616	69	add	9	
4265619	69	mov	10	
4265624	69	mov	11	
4265629	69	mov	12	
4265634	69	call	13	
4265640	69	mov	14	
4265646	69	mov	15	
4265648	69	call	16	
4265654	69	mov	17	
4265660	69	mov	18	
4265662	69	mov	19	
4265667	69	mov	20	
4265669	69	mov	21	
4265675	69	call	22	
4265680	69	call	23	
4265685	69	cmp	24	
4265692	69	jnz	25	
4265694	70	push	0	
4265699	70	call	1	
4265705	70	add	2	
4265708	71	call	0	
4265713	71	cmp	1	
4265720	71	jnz	2	
4265722	72	push	0	
4265724	72	call	1	
4265730	72	add	2	
4265733	73	xor	0	
4265735	73	pop	1	
4265736	73	retn	2	
4270710	74	jmp	0	
4264056	75	jmp	0	
4265888	76	push	0	
4265889	76	mov	1	
4265891	76	call	2	
4265896	76	call	3	
4265901	76	pop	4	
4265902	76	retn	5	
4264061	77	jmp	0	
4271376	78	push	0	
4271377	78	mov	1	
4271379	78	mov	2	
4271382	78	push	3	
4271383	78	mov	4	
4271386	78	push	5	
4271387	78	mov	6	
4271390	78	push	7	
4271391	78	mov	8	
4271394	78	push	9	
4271395	78	push	10	
4271400	78	push	11	
4271405	78	call	12	
4271410	78	add	13	
4271413	78	pop	14	
4271414	78	retn	15	
4269504	79	push	0	
4269505	79	mov	1	
4269507	79	mov	2	
4269510	79	mov	3	
4269515	79	mov	4	
4269521	79	mov	5	
4269531	79	pop	6	
4269532	79	retn	7	
4264066	80	jmp	0	
4272928	81	jmp	0	
4273296	82	jmp	0	
4269712	83	push	0	
4269713	83	mov	1	
4269715	83	push	2	
4269720	83	call	3	
4269726	83	xor	4	
4269728	83	pop	5	
4269729	83	retn	6	
4264086	84	jmp	0	
4272898	85	jmp	0	
4266656	86	push	0	
4266657	86	mov	1	
4266659	86	mov	2	
4266665	86	pop	3	
4266666	86	retn	4	
4264101	87	jmp	0	
4271354	88	jmp	0	
4266672	89	push	0	
4266673	89	mov	1	
4266675	89	sub	2	
4266678	89	mov	3	
4266685	89	mov	4	
4266688	89	movzx	5	
4266691	89	cmp	6	
4266697	89	jz	7	
4266699	90	xor	0	
4266701	90	jmp	1	
4266706	91	mov	0	
4266709	91	mov	1	
4266712	91	add	2	
4266715	91	mov	3	
4266718	91	mov	4	
4266721	91	cmp	5	
4266727	91	jz	6	
4266729	92	xor	0	
4266731	92	jmp	1	
4266733	93	mov	0	
4266736	93	add	1	
4266739	93	mov	2	
4266742	93	mov	3	
4266745	93	movzx	4	
4266748	93	mov	5	
4266751	93	cmp	6	
4266758	93	jz	7	
4266760	94	cmp	0	
4266767	94	jz	1	
4266769	95	jmp	0	
4266771	96	mov	0	
4266774	96	cmp	1	
4266778	96	ja	2	
4266780	97	xor	0	
4266782	97	jmp	1	
4266784	98	mov	0	
4266787	98	xor	1	
4266789	98	cmp	2	
4266796	98	setnz	3	
4266799	98	mov	4	
4266801	98	jmp	5	
4266803	99	mov	0	
4266806	99	mov	1	
4266809	99	mov	2	
4266812	99	cmp	3	
4266816	99	ja	4	
4266818	100	xor	0	
4266820	100	jmp	1	
4266822	101	mov	0	
4266825	101	xor	1	
4266827	101	cmp	2	
4266834	101	setnz	3	
4266837	101	jmp	4	
4266839	102	xor	0	
4266841	103	mov	0	
4266843	103	pop	1	
4266844	103	retn	2	
4270259	104	push	0	
4270261	104	call	1	
4270266	104	add	2	
4270269	104	retn	3	
4264126	105	jmp	0	
4272320	106	push	0	
4272321	106	mov	1	
4272323	106	sub	2	
4272329	106	mov	3	
4272334	106	xor	4	
4272336	106	mov	5	
4272339	106	cmp	6	
4272346	106	jz	7	
4272348	107	xor	0	
4272350	107	mov	1	
